Subject,Drug,Press_Req,OptOuts,Rewards,Presses,Holds,Duration
sub_871,Vehicle,80,0,10,400,10,11.21466667
sub_871,.1mg/kg,10,2,8,32,12,12.75366667
sub_871,.1mg/kg,20,1,9,84,8,14.59116667
sub_871,.1mg/kg,40,0,10,200,16,12.49616667
sub_871,.1mg/kg,80,5,5,92,5,19.45666667
sub_871,.2mg/kg,10,8,2,16,1,29.95966667
sub_871,.2mg/kg,20,9,1,1,1,31.90216667
sub_871,.2mg/kg,40,10,0,37,0,32.04533333
sub_871,.2mg/kg,80,8,2,0,2,27.67066667
sub_872,Vehicle,10,0,10,50,16,5.987166667
sub_872,Vehicle,20,0,10,100,12,5.094333333
sub_872,Vehicle,40,0,10,200,6,7.093
sub_872,Vehicle,80,0,10,400,6,10.9315
sub_872,.1mg/kg,10,1,9,47,7,10.65533333
sub_872,.1mg/kg,20,4,6,37,19,18.32
sub_872,.1mg/kg,40,5,5,3,13,18.23283333
sub_872,.1mg/kg,80,5,5,1,8,17.52583333
sub_872,.2mg/kg,10,7,3,11,3,24.695
sub_872,.2mg/kg,20,4,6,29,8,20.1995
sub_872,.2mg/kg,40,6,4,0,6,23.93283333
sub_872,.2mg/kg,80,8,2,0,2,25.48866667
sub_873,Vehicle,10,0,10,50,23,4.599166667
sub_873,Vehicle,20,0,10,100,20,6.059
sub_873,Vehicle,40,0,10,200,18,6.425166667
sub_873,Vehicle,80,0,10,400,9,8.054
sub_873,.1mg/kg,10,0,10,50,16,4.837833333
sub_873,.1mg/kg,20,0,10,100,17,7.357166667
sub_873,.1mg/kg,40,0,10,200,9,7.006333333
sub_873,.1mg/kg,80,4,6,162,13,18.449
sub_873,.2mg/kg,10,1,9,48,6,9.336666667
sub_873,.2mg/kg,20,4,6,56,6,19.77066667
sub_873,.2mg/kg,40,5,5,41,13,23.68216667
sub_873,.2mg/kg,80,8,2,3,4,28.63483333
