Subject,Drug,Press_Req,Rewards,OptOuts,Presses,Holds,Duration
sub_864,Vehicle,10,10,0,50,135,5.807333333
sub_864,Vehicle,20,10,0,100,17,6.781666667
sub_864,Vehicle,40,10,0,200,15,6.2375
sub_864,Vehicle,80,10,0,400,120,8.419333333
sub_864,.125mg/kg,10,10,0,50,21,5.543833333
sub_864,.125mg/kg,20,10,0,100,17,6.858666667
sub_864,.125mg/kg,40,10,0,200,19,8.067666667
sub_864,.125mg/kg,80,10,0,400,15,7.388833333
sub_864,.5mg/kg,10,10,0,50,19,5.143833333
sub_864,.5mg/kg,20,10,0,100,16,6.213166667
sub_864,.5mg/kg,40,10,0,200,16,8.905333333
sub_864,.5mg/kg,80,10,0,400,12,6.483833333
sub_865,Vehicle,10,9,1,50,12,9.328333333
sub_865,Vehicle,20,4,6,85,0,23.7925
sub_865,Vehicle,40,10,0,200,10,4.796833333
sub_865,Vehicle,80,10,0,400,9,6.453666667
sub_865,.125mg/kg,10,10,0,50,14,5.383
sub_865,.125mg/kg,20,10,0,100,6,8.652666667
sub_865,.125mg/kg,40,10,0,200,6,4.18
sub_865,.125mg/kg,80,10,0,400,6,6.593666667
sub_865,.5mg/kg,10,10,0,50,7,6.785
sub_865,.5mg/kg,20,10,0,100,6,4.5095
sub_865,.5mg/kg,40,10,0,200,6,5.269166667
sub_865,.5mg/kg,80,10,0,400,8,5.5625
