Subject,Drug,Drug_Code,Baseline_Code,Press_Req,Rewards,OptOuts,Presses,Holds,Duration
sub_836,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,6,4.800333333
sub_836,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,9,12.20266667
sub_836,.1Hal-.5KW,D_Hal_.5KW,0,40,5,5,29,6,20.51683333
sub_836,.1Hal-.5KW,D_Hal_.5KW,0,80,6,4,166,6,18.48133333
sub_841,Baseline,A,1,10,10,0,50,14,9.119
sub_841,Baseline,A,1,20,10,0,100,10,6.663166667
sub_841,Baseline,A,1,40,7,3,126,11,17.01133333
sub_841,Baseline,A,1,80,5,5,153,6,18.15016667
sub_841,Veh-Veh,A_Veh_Veh,0,10,10,0,50,9,7.720833333
sub_841,Veh-Veh,A_Veh_Veh,0,20,10,0,100,8,6.964833333
sub_841,Veh-Veh,A_Veh_Veh,0,40,7,3,114,6,16.89366667
sub_841,Veh-Veh,A_Veh_Veh,0,80,5,5,77,6,18.80366667
sub_841,.1Hal - Veh,B_Hal_Veh,0,10,7,3,21,6,17.3015
sub_841,.1Hal - Veh,B_Hal_Veh,0,20,5,5,1,6,22.61133333
sub_841,.1Hal - Veh,B_Hal_Veh,0,40,5,5,0,6,19.3815
sub_841,.1Hal - Veh,B_Hal_Veh,0,80,3,7,55,7,26.95216667
sub_841,.1Hal - .125KW,C_Hal_.125KW,0,10,9,1,44,5,12.139
sub_841,.1Hal - .125KW,C_Hal_.125KW,0,20,4,6,0,7,23.38466667
sub_841,.1Hal - .125KW,C_Hal_.125KW,0,40,4,6,0,5,29.78983333
sub_841,.1Hal - .125KW,C_Hal_.125KW,0,80,2,8,0,3,27.53866667
sub_841,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,5,8.393
sub_841,.1Hal-.5KW,D_Hal_.5KW,0,20,7,3,57,5,17.28633333
sub_841,.1Hal-.5KW,D_Hal_.5KW,0,40,5,5,14,5,21.04783333
sub_841,.1Hal-.5KW,D_Hal_.5KW,0,80,5,5,63,8,22.639
sub_846,Baseline,A,1,10,8,2,50,62,13.88483333
sub_846,Baseline,A,1,20,9,1,100,47,12.24266667
sub_846,Baseline,A,1,40,9,1,200,19,10.71733333
sub_846,Baseline,A,1,80,10,0,400,6,8.058833333
sub_846,Veh-Veh,A_Veh_Veh,0,10,10,0,50,11,5.581
sub_846,Veh-Veh,A_Veh_Veh,0,20,10,0,100,11,7.458333333
sub_846,Veh-Veh,A_Veh_Veh,0,40,10,0,200,9,7.0945
sub_846,Veh-Veh,A_Veh_Veh,0,80,10,0,400,11,7.768666667
sub_846,.1Hal - Veh,B_Hal_Veh,0,10,7,3,50,11,19.91883333
sub_846,.1Hal - Veh,B_Hal_Veh,0,20,2,8,42,4,31.2425
sub_846,.1Hal - Veh,B_Hal_Veh,0,40,5,5,127,3,24.96533333
sub_846,.1Hal - Veh,B_Hal_Veh,0,80,4,6,6,9,23.6275
sub_846,.1Hal - .125KW,C_Hal_.125KW,0,10,1,9,15,16,31.08
sub_846,.1Hal - .125KW,C_Hal_.125KW,0,20,8,2,100,64,14.2855
sub_846,.1Hal - .125KW,C_Hal_.125KW,0,40,10,0,200,38,14.91933333
sub_846,.1Hal - .125KW,C_Hal_.125KW,0,80,10,0,400,36,13.5075
sub_846,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,52,7.434333333
sub_846,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,17,9.981666667
sub_846,.1Hal-.5KW,D_Hal_.5KW,0,40,9,1,200,175,14.14066667
sub_846,.1Hal-.5KW,D_Hal_.5KW,0,80,10,0,400,14,12.815
sub_847,Baseline,A,1,10,5,5,50,4,18.80233333
sub_847,Baseline,A,1,20,5,5,100,4,19.229
sub_847,Baseline,A,1,40,5,5,200,3,18.14233333
sub_847,Baseline,A,1,80,5,5,400,6,21.77116667
sub_847,Veh-Veh,A_Veh_Veh,0,10,5,5,50,7,18.52216667
sub_847,Veh-Veh,A_Veh_Veh,0,20,5,5,100,3,18.685
sub_847,Veh-Veh,A_Veh_Veh,0,40,5,5,200,3,19.61833333
sub_847,Veh-Veh,A_Veh_Veh,0,80,5,5,400,3,20.7595
sub_847,.1Hal - Veh,B_Hal_Veh,0,10,5,5,50,0,19.28016667
sub_847,.1Hal - Veh,B_Hal_Veh,0,20,5,5,100,0,18.06133333
sub_847,.1Hal - Veh,B_Hal_Veh,0,40,2,8,105,0,28.40933333
sub_847,.1Hal - Veh,B_Hal_Veh,0,80,0,10,1,0,31.22
sub_847,.1Hal - .125KW,C_Hal_.125KW,0,10,0,10,1,0,32.15583333
sub_847,.1Hal - .125KW,C_Hal_.125KW,0,20,0,10,13,0,34.78216667
sub_847,.1Hal - .125KW,C_Hal_.125KW,0,40,0,10,1,1,32.78133333
sub_847,.1Hal - .125KW,C_Hal_.125KW,0,80,0,10,11,0,33.64633333
sub_847,.1Hal-.5KW,D_Hal_.5KW,0,10,3,7,30,1,27.96033333
sub_847,.1Hal-.5KW,D_Hal_.5KW,0,20,5,5,100,123,20.36316667
sub_847,.1Hal-.5KW,D_Hal_.5KW,0,40,5,5,200,82,20.83016667
sub_847,.1Hal-.5KW,D_Hal_.5KW,0,80,5,5,400,16,25.98383333
sub_867,Baseline,A,1,10,10,0,50,13,6.77
sub_867,Baseline,A,1,20,10,0,100,6,8.3225
sub_867,Baseline,A,1,40,10,0,200,10,9.964333333
sub_867,Baseline,A,1,80,10,0,400,6,8.809666667
sub_867,Veh-Veh,A_Veh_Veh,0,10,10,0,50,12,4.8615
sub_867,Veh-Veh,A_Veh_Veh,0,20,10,0,100,9,6.319833333
sub_867,Veh-Veh,A_Veh_Veh,0,40,10,0,200,9,6.6575
sub_867,Veh-Veh,A_Veh_Veh,0,80,9,1,390,9,12.7895
sub_867,.1Hal - Veh,B_Hal_Veh,0,10,8,2,50,10,14.74466667
sub_867,.1Hal - Veh,B_Hal_Veh,0,20,10,0,100,7,6.852166667
sub_867,.1Hal - Veh,B_Hal_Veh,0,40,3,7,42,7,28.14216667
sub_867,.1Hal - Veh,B_Hal_Veh,0,80,1,9,2,2,31.1925
sub_867,.1Hal - .125KW,C_Hal_.125KW,0,10,9,1,50,9,17.716
sub_867,.1Hal - .125KW,C_Hal_.125KW,0,20,2,8,13,3,29.521
sub_867,.1Hal - .125KW,C_Hal_.125KW,0,40,8,2,160,10,23.49416667
sub_867,.1Hal - .125KW,C_Hal_.125KW,0,80,4,6,58,16,26.63366667
sub_867,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,15,8.406
sub_867,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,9,5.663333333
sub_867,.1Hal-.5KW,D_Hal_.5KW,0,40,10,0,200,11,12.63483333
sub_867,.1Hal-.5KW,D_Hal_.5KW,0,80,7,3,211,13,20.343
sub_868,Baseline,A,1,10,5,5,50,73,20.2355
sub_868,Baseline,A,1,20,5,5,100,8,17.4405
sub_868,Baseline,A,1,40,5,5,200,1,19.48616667
